Hour,City,Temperature (°C)
2024-12-02T00:00,Sydney,31.1
2024-12-02T01:00,Sydney,32.7
2024-12-02T02:00,Sydney,33.6
2024-12-02T03:00,Sydney,34.3
2024-12-02T04:00,Sydney,34.6
2024-12-02T05:00,Sydney,31.2
2024-12-02T06:00,Sydney,31.6
2024-12-02T07:00,Mumbai,32.5
2024-12-02T08:00,Mumbai,33.5
2024-12-02T09:00,Mumbai,34.0
2024-12-02T10:00,Mumbai,33.6
2024-12-02T11:00,Mumbai,31.5
2024-12-02T12:00,Mumbai,29.6
2024-12-02T13:00,Rio de Janeiro,31.9
2024-12-02T14:00,Rio de Janeiro,34.4
2024-12-02T15:00,Rio de Janeiro,36.5
2024-12-02T16:00,Rio de Janeiro,37.6
2024-12-02T17:00,Rio de Janeiro,38.1
2024-12-02T18:00,Rio de Janeiro,38.2
2024-12-02T19:00,Rio de Janeiro,37.9
2024-12-02T20:00,Rio de Janeiro,32.8
2024-12-02T21:00,Rio de Janeiro,29.4
2024-12-02T22:00,Sydney,28.6
2024-12-02T23:00,Sydney,30.3
2024-12-03T00:00,Sydney,31.4
2024-12-03T01:00,Sydney,31.7
2024-12-03T02:00,Sydney,31.4
2024-12-03T03:00,Sydney,31.2
2024-12-03T04:00,Mumbai,29.2
2024-12-03T05:00,Mumbai,31.1
2024-12-03T06:00,Mumbai,32.1
2024-12-03T07:00,Mumbai,32.8
2024-12-03T08:00,Mumbai,33.6
2024-12-03T09:00,Mumbai,34.0
2024-12-03T10:00,Mumbai,33.0
2024-12-03T11:00,Mumbai,30.9
2024-12-03T12:00,Mumbai,29.7
2024-12-03T13:00,Rio de Janeiro,29.7
2024-12-03T14:00,Rio de Janeiro,30.8
2024-12-03T15:00,Rio de Janeiro,31.5
2024-12-03T16:00,Rio de Janeiro,31.7
2024-12-03T17:00,Rio de Janeiro,31.1
2024-12-03T18:00,Rio de Janeiro,28.4
2024-12-03T19:00,Mumbai,27.7
2024-12-03T20:00,Mumbai,27.6
2024-12-03T21:00,Mumbai,27.3
2024-12-03T22:00,Mumbai,27.1
2024-12-03T23:00,Mumbai,26.9
2024-12-04T00:00,Mumbai,26.8
2024-12-04T01:00,Mumbai,26.6
2024-12-04T02:00,Mumbai,26.6
2024-12-04T03:00,Mumbai,27.4
2024-12-04T04:00,Mumbai,28.8
2024-12-04T05:00,Mumbai,30.1
2024-12-04T06:00,Mumbai,32.4
