City,Temperature (°C),Temperature (°F),Relative Humidity (%),Wind Speed (m/s),Wind Speed (mph),Time
New York,0.1,32.18,38,2.28,5.1002232,2024-12-02T00:00
New York,-0.7,30.74,45,2.56,5.7265664,2024-12-02T01:00
New York,-1.0,30.2,47,2.04,4.563357600000001,2024-12-02T02:00
New York,-1.0,30.2,46,2.31,5.1673314,2024-12-02T03:00
New York,-0.8,30.56,52,2.2,4.921268,2024-12-02T04:00
New York,-0.9,30.38,50,2.43,5.4357642,2024-12-02T05:00
New York,-0.8,30.56,51,1.75,3.914645,2024-12-02T06:00
New York,-1.1,30.02,55,2.38,5.3239172,2024-12-02T07:00
New York,-1.4,29.48,56,2.8,6.263432,2024-12-02T08:00
New York,-1.4,29.48,56,2.73,6.106846200000001,2024-12-02T09:00
New York,-1.7,28.94,61,2.47,5.525241800000001,2024-12-02T10:00
New York,-1.5,29.3,59,2.97,6.643711800000001,2024-12-02T11:00
New York,-1.4,29.48,62,3.07,6.8674058,2024-12-02T12:00
New York,-1.4,29.48,66,3.31,7.404271400000001,2024-12-02T13:00
New York,-0.2,31.64,61,3.36,7.5161184,2024-12-02T14:00
New York,1.2,34.16,58,4.62,10.3346628,2024-12-02T15:00
New York,2.3,36.14,53,4.06,9.0819764,2024-12-02T16:00
New York,3.5,38.3,47,3.22,7.202946800000001,2024-12-02T17:00
New York,4.0,39.2,46,3.64,8.1424616,2024-12-02T18:00
New York,4.2,39.56,44,4.34,9.708319600000001,2024-12-02T19:00
New York,4.0,39.2,42,5.09,11.3860246,2024-12-02T20:00
New York,3.2,37.76,40,4.56,10.2004464,2024-12-02T21:00
New York,2.5,36.5,46,3.61,8.075353400000001,2024-12-02T22:00
New York,2.0,35.6,45,2.7,6.039738000000001,2024-12-02T23:00
New York,0.5,32.9,49,2.82,6.3081708,2024-12-03T00:00
New York,-0.4,31.28,52,2.12,4.7423128000000005,2024-12-03T01:00
New York,-1.1,30.02,58,2.19,4.8988986,2024-12-03T02:00
New York,-1.0,30.2,54,2.12,4.7423128000000005,2024-12-03T03:00
New York,-1.1,30.02,57,2.28,5.1002232,2024-12-03T04:00
New York,-1.0,30.2,63,2.3,5.144962,2024-12-03T05:00
New York,-1.0,30.2,66,1.71,3.8251674,2024-12-03T06:00
New York,-1.2,29.84,68,0.89,1.9908766000000002,2024-12-03T07:00
New York,-0.8,30.56,68,0.1,0.22369400000000003,2024-12-03T08:00
New York,-0.6,30.92,70,1.66,3.7133204,2024-12-03T09:00
New York,0.1,32.18,73,1.94,4.3396636,2024-12-03T10:00
New York,-0.1,31.82,73,2.33,5.2120702,2024-12-03T11:00
New York,-0.1,31.82,73,1.68,3.7580592,2024-12-03T12:00
New York,0.3,32.54,72,1.8,4.026492,2024-12-03T13:00
New York,1.7,35.06,70,2.94,6.5766036,2024-12-03T14:00
New York,2.9,37.22,69,2.66,5.9502604,2024-12-03T15:00
New York,4.1,39.38,60,2.84,6.3529096,2024-12-03T16:00
New York,4.7,40.46,53,4.01,8.9701294,2024-12-03T17:00
New York,5.4,41.72,46,4.54,10.155707600000001,2024-12-03T18:00
New York,5.4,41.72,44,4.37,9.775427800000001,2024-12-03T19:00
New York,5.2,41.36,42,4.7,10.513618000000001,2024-12-03T20:00
New York,4.7,40.46,35,3.9,8.724066,2024-12-03T21:00
New York,3.1,37.58,39,3.59,8.0306146,2024-12-03T22:00
New York,3.2,37.76,60,4.9,10.961006000000001,2024-12-03T23:00
New York,2.6,36.68,48,5.12,11.4531328,2024-12-04T00:00
New York,1.6,34.88,40,5.52,12.347908799999999,2024-12-04T01:00
New York,0.2,32.36,34,4.22,9.4398868,2024-12-04T02:00
New York,-1.0,30.2,41,2.47,5.525241800000001,2024-12-04T03:00
New York,-1.8,28.76,44,2.21,4.9436374,2024-12-04T04:00
New York,-3.1,26.42,47,1.5,3.35541,2024-12-04T05:00
New York,-3.5,25.7,53,2.32,5.1897008,2024-12-04T06:00
New York,-3.8,25.16,59,1.73,3.8699062000000004,2024-12-04T07:00
New York,-3.9,24.98,61,1.87,4.1830778,2024-12-04T08:00
New York,-3.8,25.16,70,2.1,4.697574,2024-12-04T09:00
New York,-3.8,25.16,80,1.73,3.8699062000000004,2024-12-04T10:00
New York,-3.4,25.880000000000003,79,1.9,4.250186,2024-12-04T11:00
New York,-3.3,26.060000000000002,77,2.51,5.6147194,2024-12-04T12:00
New York,-1.8,28.76,72,1.84,4.115969600000001,2024-12-04T13:00
New York,1.0,33.8,69,1.7,3.802798,2024-12-04T14:00
New York,3.0,37.4,56,2.51,5.6147194,2024-12-04T15:00
New York,3.3,37.94,54,3.83,8.5674802,2024-12-04T16:00
New York,3.4,38.12,52,4.54,10.155707600000001,2024-12-04T17:00
New York,3.4,38.12,48,5.57,12.459755800000002,2024-12-04T18:00
New York,3.8,38.839999999999996,44,5.21,11.6544574,2024-12-04T19:00
New York,4.0,39.2,42,4.6,10.289924,2024-12-04T20:00
New York,3.8,38.839999999999996,43,4.73,10.5807262,2024-12-04T21:00
New York,4.2,39.56,40,5.11,11.430763400000002,2024-12-04T22:00
New York,4.5,40.1,40,6.41,14.3387854,2024-12-04T23:00
New York,4.6,40.28,42,5.72,12.795296800000001,2024-12-05T00:00
New York,4.9,40.82,45,6.14,13.7348116,2024-12-05T01:00
New York,4.2,39.56,52,7.91,17.6941954,2024-12-05T02:00
New York,4.3,39.74,51,6.61,14.786173400000001,2024-12-05T03:00
New York,5.1,41.18,49,6.67,14.9203898,2024-12-05T04:00
New York,2.4,36.32,88,6.88,15.390147200000001,2024-12-05T05:00
New York,1.5,34.7,92,4.3,9.618842,2024-12-05T06:00
New York,1.5,34.7,91,3.98,8.903021200000001,2024-12-05T07:00
New York,2.0,35.6,91,3.64,8.1424616,2024-12-05T08:00
New York,2.3,36.14,91,2.6,5.816044000000001,2024-12-05T09:00
New York,2.8,37.04,85,2.53,5.6594581999999996,2024-12-05T10:00
New York,3.4,38.12,76,3.26,7.2924244,2024-12-05T11:00
New York,1.9,35.42,91,3.98,8.903021200000001,2024-12-05T12:00
New York,2.4,36.32,88,3.58,8.008245200000001,2024-12-05T13:00
New York,3.4,38.12,83,4.5,10.066230000000001,2024-12-05T14:00
New York,4.4,39.92,80,6.98,15.613841200000001,2024-12-05T15:00
New York,3.1,37.58,79,8.77,19.617963800000002,2024-12-05T16:00
New York,3.7,38.660000000000004,63,8.02,17.9402588,2024-12-05T17:00
New York,3.6,38.48,49,10.74,24.024735600000003,2024-12-05T18:00
New York,2.8,37.04,48,9.82,21.966750800000003,2024-12-05T19:00
New York,2.1,35.78,48,8.85,19.796919,2024-12-05T20:00
New York,1.3,34.34,55,7.3,16.329662,2024-12-05T21:00
New York,0.6,33.08,56,5.15,11.520241000000002,2024-12-05T22:00
New York,0.3,32.54,55,7.1,15.882274,2024-12-05T23:00
New York,-0.4,31.28,48,7.9,17.671826000000003,2024-12-06T00:00
New York,-1.0,30.2,53,6.45,14.428263000000001,2024-12-06T01:00
New York,-1.3,29.66,56,7.5,16.777050000000003,2024-12-06T02:00
New York,-1.6,29.12,59,7.05,15.770427000000002,2024-12-06T03:00
New York,-1.7,28.94,60,6.92,15.479624800000002,2024-12-06T04:00
New York,-2.0,28.4,60,6.41,14.3387854,2024-12-06T05:00
New York,-2.5,27.5,59,5.73,12.817666200000001,2024-12-06T06:00
New York,-2.9,26.78,58,6.12,13.690072800000001,2024-12-06T07:00
New York,-3.2,26.240000000000002,58,6.74,15.0769756,2024-12-06T08:00
New York,-3.6,25.52,57,6.54,14.6295876,2024-12-06T09:00
New York,-3.9,24.98,55,5.97,13.3545318,2024-12-06T10:00
New York,-4.3,24.26,57,4.57,10.222815800000001,2024-12-06T11:00
New York,-4.6,23.72,59,4.0,8.94776,2024-12-06T12:00
New York,-3.8,25.16,58,4.65,10.401771000000002,2024-12-06T13:00
New York,-3.0,26.6,52,6.5,14.54011,2024-12-06T14:00
New York,-2.0,28.4,47,7.49,16.7546806,2024-12-06T15:00
New York,-1.5,29.3,44,7.58,16.9560052,2024-12-06T16:00
New York,-1.0,30.2,44,7.29,16.3072926,2024-12-06T17:00
New York,-0.9,30.38,42,7.25,16.217815,2024-12-06T18:00
New York,-0.8,30.56,39,7.25,16.217815,2024-12-06T19:00
New York,-1.3,29.66,42,7.08,15.837535200000001,2024-12-06T20:00
New York,-2.0,28.4,46,6.17,13.8019198,2024-12-06T21:00
New York,-3.2,26.240000000000002,49,3.72,8.321416800000002,2024-12-06T22:00
New York,-3.6,25.52,51,3.35,7.493749000000001,2024-12-06T23:00
New York,-3.5,25.7,52,3.52,7.8740288000000005,2024-12-07T00:00
New York,-3.3,26.060000000000002,53,3.45,7.717443000000001,2024-12-07T01:00
New York,-3.4,25.880000000000003,54,3.2,7.158208000000001,2024-12-07T02:00
New York,-3.0,26.6,55,3.22,7.202946800000001,2024-12-07T03:00
New York,-2.8,26.96,56,4.22,9.4398868,2024-12-07T04:00
New York,-2.5,27.5,60,4.97,11.1175918,2024-12-07T05:00
New York,-2.4,27.68,63,4.62,10.3346628,2024-12-07T06:00
New York,-2.9,26.78,66,4.02,8.9924988,2024-12-07T07:00
New York,-3.2,26.240000000000002,67,4.14,9.2609316,2024-12-07T08:00
New York,-3.3,26.060000000000002,67,4.24,9.484625600000001,2024-12-07T09:00
New York,-3.5,25.7,69,3.79,8.4780026,2024-12-07T10:00
New York,-3.6,25.52,69,3.04,6.8002976,2024-12-07T11:00
New York,-3.8,25.16,69,2.69,6.0173686,2024-12-07T12:00
New York,-3.0,26.6,67,2.95,6.598973000000001,2024-12-07T13:00
New York,-1.6,29.12,61,4.06,9.0819764,2024-12-07T14:00
New York,-0.1,31.82,55,4.1,9.171454,2024-12-07T15:00
New York,1.3,34.34,49,4.0,8.94776,2024-12-07T16:00
